ID,Description,Length,GC_Content
NM_001438839.1,"NM_001438839.1 Homo sapiens G protein-coupled receptor class C group 5 member C (GPRC5C), transcript variant 5, mRNA",3799,58.94
NM_001393388.1,"NM_001393388.1 Homo sapiens adenosylhomocysteinase like 2 (AHCYL2), transcript variant 7, mRNA",4810,43.6
NM_001393386.1,"NM_001393386.1 Homo sapiens adenosylhomocysteinase like 2 (AHCYL2), transcript variant 5, mRNA",4872,44.01
NM_001393387.1,"NM_001393387.1 Homo sapiens adenosylhomocysteinase like 2 (AHCYL2), transcript variant 6, mRNA",5034,46.11
NM_001393390.1,"NM_001393390.1 Homo sapiens adenosylhomocysteinase like 2 (AHCYL2), transcript variant 9, mRNA",4846,43.44
